"";"ID";"spname";"position"
"545";"97";"Artemisia desertorum";"fac_only"
"546";"97";"Cirsium japonicum";"fac_only"
"547";"97";"Setaria viridis";"fac_only"
"548";"97";"Agrostis tenuis";"fac_only"
"549";"97";"Caragana korshinskii";"FT_only"
"550";"98";"Artemisia scoparia";"match"
"551";"98";"Achnatherum splendens";"match"
"552";"98";"Cynanchum hancockianum";"match"
"553";"98";"Caragana korshinskii";"fac_only"
"554";"98";"Poa sphondylodes";"fac_only"
"555";"98";"Phragmites australias";"fac_only"
"556";"98";"Lithospermum arvense";"fac_only"
"557";"98";"Ixeridium chinense";"fac_only"
"558";"98";"Setaria viridis";"fac_only"
"559";"98";"Bassia dasyphylla";"fac_only"
"560";"98";"Sonchus oleraceus";"fac_only"
"561";"98";"Poa annua";"fac_only"
"562";"98";"Heteropappus altaicus";"fac_only"
"563";"98";"Medicago sativa";"fac_only"
"564";"98";"Isatis tinctoria";"fac_only"
"565";"98";"Artemisia argyi";"fac_only"
"566";"98";"Corispermum chinganicum";"fac_only"
"567";"98";"Allium mongolicum";"fac_only"
"568";"98";"Euphorbia thymifolia";"fac_only"
"569";"98";"Convolvulus arvensis";"fac_only"
"570";"98";"Oxytropis psammocharis";"fac_only"
"571";"98";"Salsola ruthenica";"fac_only"
"572";"98";"Euphorbia esula";"fac_only"
"573";"98";"Erodium stephanianum";"fac_only"
"574";"98";"Taraxacum mongolicum";"fac_only"
"575";"98";"Cirsium japonicum";"fac_only"
"576";"98";"Carpesium abrotanoides";"fac_only"
"577";"98";"Agriophyllum squarrosum";"fac_only"
"578";"98";"Agrostis tenuis";"fac_only"
"579";"98";"Chenopodium album";"fac_only"
"580";"98";"Limonium bicolor";"fac_only"
"581";"99";"Achnatherum splendens";"match"
"582";"99";"Stemmacanthauniflora";"fac_only"
"583";"99";"Halogeton glomeratus";"fac_only"
"584";"99";"Poa annua";"fac_only"
"585";"99";"Phragmites australias";"fac_only"
"586";"99";"Setaria viridis";"fac_only"
"587";"99";"L. apetalum";"fac_only"
"588";"99";"Artemisia annua";"fac_only"
"589";"99";"Ixeridium chinense";"fac_only"
"590";"99";"Sonchus oleraceus";"fac_only"
"591";"99";"Hongzhijuanbai";"fac_only"
"592";"99";"Artemisia desertorum";"fac_only"
"593";"100";"Cynanchum hancockianum";"match"
"594";"100";"Caragana korshinskii";"match"
"595";"100";"Salix cheilophila";"fac_only"
"596";"100";"Artemisia desertorum";"fac_only"
"597";"100";"Ixeridium chinense";"fac_only"
"598";"100";"Bassia dasyphylla";"fac_only"
"599";"100";"Setaria viridis";"fac_only"
"600";"100";"Euphorbia thymifolia";"fac_only"
"601";"100";"Chenopodium album";"fac_only"
"602";"100";"Psammochloa villosa";"fac_only"
"603";"100";"Ding";"fac_only"
"604";"100";"Salix psammophila";"FT_only"
"605";"100";"Artemisia ordosica";"FT_only"
"606";"101";"Caragana korshinskii";"match"
