"","ID","replicate","D_bare_only","D_nurse_only","D_both"
"4080","273","20",0.949435330121698,0.945249403086808,1.53038450097269
"4081","273","21",1.00190460082535,NA,1.15326243676139
"4082","273","22",0.810170153536919,0.960454106399871,1.53038450097269
"4083","273","23",1.22202003526592,1.16263132020656,1.13696606929528
"4084","273","24",1.2950465821391,1.42911494725208,1.13353173956413
"4085","273","25",1.3671807810738,1.60764190696246,1.2950465821391
"4086","273","26",1.14476262927615,NA,NA
"4087","273","27",0.838643520744998,1.4806198845786,1.45312709498291
"4088","273","28",1.13696606929528,1.05965841960154,1.1523740458857
"4089","274","1",0,1.69622345584669,NA
"4090","274","2",2.13471585786241,NA,2.0347711149162
"4091","274","3",1.74380215572159,NA,2.0347711149162
"4092","274","4",1.79519303958348,1.87687893353848,1.38234806993688
"4093","274","5",2.06530190960539,1.8531611488016,0.894975426595936
"4094","274","6",1.49512050192096,3.34675875530824,NA
"4095","274","7",1.54989283504805,2.06530190960539,1.38234806993688
"4096","274","8",1.48325291160974,1.30611462817687,2.06530190960539
"4097","274","9",1.77427741060756,1.6042540802926,NA
"4098","274","10",1.50416854058565,1.30110416925574,1.65387990394809
"4099","274","11",1.77427741060756,NA,0
"4100","274","12",1.8531611488016,NA,1.39808057791122
"4101","274","13",1.48325291160974,1.21002979807875,2.06530190960539
"4102","274","14",1.54039962710989,NA,0.917958505361938
"4103","274","15",1.56213664980377,1.61180020870906,1.53918507058795
"4104","274","16",NA,NA,NA
"4105","274","17",NA,NA,NA
"4106","274","18",NA,NA,NA
"4107","274","19",NA,NA,NA
"4108","274","20",NA,NA,NA
"4109","274","21",NA,NA,NA
"4110","274","22",NA,NA,NA
"4111","274","23",NA,NA,NA
"4112","274","24",NA,NA,NA
"4113","274","25",NA,NA,NA
"4114","274","26",NA,NA,NA
"4115","274","27",NA,NA,NA
"4116","274","28",NA,NA,NA
"4117","274","29",NA,NA,NA
"4118","274","30",1.29499633843513,1.29786361261583,1.04421983121618
"4119","274","31",1.53038450097269,NA,0.829441950502448
"4120","274","32",1.30073088679653,1.46449570429778,1.31190358648194
"4121","274","33",1.60764190696246,1.24129183223145,1.35152962285866
"4122","274","34",1.05861187512253,NA,1.39924502374689
"4123","274","35",0.895590255161154,1.01627816222822,1.17991322573757
"4124","274","36",1.37230398812887,NA,1.17435867507203
"4125","274","37",1.53038450097269,NA,0.8702486458325
"4126","274","38",1.16568400958474,0.836398163569378,1.24129183223145
"4127","274","39",1.14595331238748,1.46449570429778,1.24129183223145
"4128","274","40",1.0654947076761,0.968799882943669,1.37230398812887
"4129","274","41",1.20651657791939,1.23879379803334,NA
"4130","274","42",0.960454106399871,1.04421983121618,1.31569312292023
"4131","274","43",1.24129183223145,NA,1.13696606929528
"4132","274","44",1.07599407134543,0.896704551918099,NA
"4133","289","1",NA,NA,NA
"4134","289","2",NA,NA,NA
"4135","289","3",NA,NA,NA
"4136","289","4",NA,NA,NA
"4137","289","5",NA,NA,NA
"4138","289","6",NA,NA,NA
"4139","289","7",NA,NA,NA
"4140","289","8",NA,NA,NA
"4141","289","9",NA,NA,NA
"4142","289","10",NA,NA,NA
"4143","289","11",NA,NA,NA
"4144","289","12",NA,NA,NA
"4145","289","13",NA,NA,NA
"4146","289","14",NA,NA,NA
"4147","289","15",NA,NA,NA
"4148","289","16",NA,NA,NA
"4149","289","17",NA,NA,NA
"4150","289","18",NA,NA,NA
"4151","289","19",NA,NA,NA
"4152","289","20",NA,NA,NA
"4153","289","21",NA,NA,NA
"4154","289","22",NA,NA,NA
"4155","289","23",NA,NA,NA
"4156","289","24",NA,NA,NA
"4157","289","25",NA,NA,NA
"4158","289","26",NA,NA,NA
"4159","289","27",NA,NA,NA
"4160","289","28",NA,NA,NA
"4161","289","29",NA,NA,NA
"4162","289","30",NA,NA,NA
"4163","290","1",NA,NA,NA
"4164","290","2",NA,NA,NA
"4165","290","3",NA,NA,NA
"4166","290","4",NA,NA,NA
"4167","290","5",NA,NA,NA
"4168","290","6",NA,NA,NA
"4169","290","7",NA,NA,NA
"4170","290","8",NA,NA,NA
"4171","290","9",NA,NA,NA
"4172","290","10",NA,NA,NA
"4173","290","11",NA,NA,NA
"4174","290","12",NA,NA,NA
"4175","290","13",NA,NA,NA
"4176","290","14",NA,NA,NA
"4177","290","15",NA,NA,NA
"4178","290","16",NA,NA,NA
"4179","290","17",NA,NA,NA
"4180","290","18",NA,NA,NA
"4181","290","19",NA,NA,NA
"4182","290","20",NA,NA,NA
"4183","290","21",NA,NA,NA
"4184","290","22",NA,NA,NA
"4185","290","23",NA,NA,NA
"4186","290","24",NA,NA,NA
"4187","290","25",NA,NA,NA
"4188","290","26",NA,NA,NA
"4189","290","27",NA,NA,NA
"4190","290","28",NA,NA,NA
"4191","290","29",NA,NA,NA
"4192","290","30",NA,NA,NA
"4193","291","1",NA,NA,NA
"4194","291","2",NA,NA,NA
"4195","291","3",NA,NA,NA
"4196","291","4",NA,NA,NA
"4197","291","5",NA,NA,NA
"4198","291","6",NA,NA,NA
"4199","291","7",NA,NA,NA
"4200","291","8",NA,NA,NA
"4201","291","9",NA,NA,NA
"4202","291","10",NA,NA,NA
"4203","291","11",NA,NA,NA
"4204","291","12",NA,NA,NA
"4205","291","13",NA,NA,NA
"4206","291","14",NA,NA,NA
"4207","291","15",NA,NA,NA
"4208","291","16",NA,NA,NA
"4209","291","17",NA,NA,NA
"4210","291","18",NA,NA,NA
"4211","291","19",NA,NA,NA
"4212","291","20",NA,NA,NA
"4213","291","21",NA,NA,NA
"4214","291","22",NA,NA,NA
"4215","291","23",NA,NA,NA
"4216","291","24",NA,NA,NA
"4217","291","25",NA,NA,NA
"4218","292","1",NA,NA,NA
"4219","292","2",NA,NA,NA
"4220","292","3",NA,NA,NA
"4221","292","4",NA,NA,NA
"4222","292","5",NA,NA,NA
"4223","292","6",NA,NA,NA
"4224","292","7",NA,NA,NA
"4225","292","8",NA,NA,NA
"4226","292","9",NA,NA,NA
"4227","292","10",NA,NA,NA
"4228","292","11",NA,NA,NA
"4229","292","12",NA,NA,NA
"4230","292","13",NA,NA,NA
"4231","292","14",NA,NA,NA
"4232","292","15",NA,NA,NA
"4233","292","16",NA,NA,NA
"4234","292","17",NA,NA,NA
"4235","292","18",NA,0,NA
"4236","292","19",4.06460890728196,0,NA
"4237","292","20",NA,2.03230445364098,NA
"4238","292","21",1.63624028382823,4.06460890728196,NA
"4239","292","22",0,0,NA
"4240","292","23",NA,1.63624028382823,NA
"4241","292","24",3.27248056765646,0,NA
"4242","292","25",NA,NA,NA
"4243","292","26",NA,NA,0
"4244","292","27",0,NA,3.27248056765646
"4245","292","28",1.85467197628722,2.10672908243471,NA
"4246","292","29",3.66854473746921,0,NA
"4247","292","30",3.27248056765646,4.06460890728196,0
"4248","292","31",NA,0.927335988143611,NA
"4249","292","32",NA,NA,1.85467197628722
"4250","292","33",NA,NA,NA
"4251","292","34",NA,NA,NA
"4252","292","35",NA,NA,NA
"4253","292","36",NA,NA,NA
"4254","292","37",NA,NA,NA
"4255","292","38",NA,NA,NA
"4256","292","39",NA,NA,NA
"4257","292","40",NA,NA,NA
"4258","292","41",NA,NA,NA
"4259","292","42",NA,NA,NA
"4260","292","43",NA,NA,NA
"4261","292","45",NA,NA,NA
"4262","292","46",NA,NA,NA
"4263","292","44",NA,NA,NA
