ID,spname,position,,
552,95,Heteropappus altaicus,fac_only,
553,95,Suaeda salsa,fac_only,
554,95,Artemisia scoparia,fac_only,
555,95,Isatis tinctoria,fac_only,
556,95,Tribulus terrester,fac_only,
557,95,Heteropappus hispidus,FT_only,
558,95,Caragana korshinskii,FT_only,
559,95,Eleusine indica,FT_only,
560,95,Oxytropis psammocharis,FT_only,6
561,95,Artemisia stelleriana,FT_only,
562,95,Stipa bungeana,FT_only,
563,95,Cirsium japonicum,FT_only,
564,96,Artemisia scoparia,match,
565,96,Artemisia desertorum,match,
566,96,Cynanchum hancockianum,match,
567,96,Juniperus formosana,match,
568,96,Kummerowia stipulacea,fac_only,
569,96,Poa annua,fac_only,
570,96,Agrostis tenuis,fac_only,
571,96,Oxytropis psamocharis,fac_only,
572,96,Setaria viridis,fac_only,
573,96,Heteropappus altaicus,fac_only,
574,96,Poa sphondylodes,fac_only,
575,96,Isatis tinctoria,fac_only,
576,96,Stemmacanthauniflora (L.,fac_only,
577,96,Sonchus oleraceus,fac_only,
578,96,Herba Artimisiae,fac_only,
579,96,Ixeridium chinense,fac_only,
580,96,Artemisia argyi,fac_only,
581,96,Thalictrum petaloideum,fac_only,
582,96,Allium mongolicum,fac_only,
583,96,Peganum harmala,FT_only,
584,96,Artemisia stelleriana,FT_only,
585,96,Heteropappus hispidus,FT_only,
586,96,Salsola ruthenica,FT_only,
587,96,Echinops talassicus,FT_only,
588,96,Leymus secalinus,FT_only,
589,96,Imperata cylindrica,FT_only,
590,96,Stipa bungeana,FT_only,
591,96,Caragana korshinskii,FT_only,
592,96,Melilotus officinalis,FT_only,
593,97,Cynanchum hancockianum,match,
594,97,Salsola ruthenica,match,
595,97,Artemisia scoparia,match,
596,97,Cirsium japonicum,match,
597,97,Achnatherum splendens,match,
598,97,Artemisia argyi,fac_only,
599,97,Medicago Sativa,fac_only,
600,97,Poa annua,fac_only,
601,97,Euphorbia Esula,fac_only,7
602,97,Phragmites australias,fac_only,
603,97,Chenopodium album,fac_only,
604,97,Bassia dasyphylla,fac_only,
605,97,Corispermum chinganicum,fac_only,
606,97,Allium mongolicum,fac_only,
607,97,Poa sphondylodes,fac_only,
608,97,Oxytropis psamocharis,fac_only,8
609,97,Convolvulus arvensis,fac_only,
610,97,Ixeridium chinense,fac_only,
611,97,Sonchus oleraceus,fac_only,
612,97,Agriophyllum squarrosum,fac_only,
613,97,Euphorbia thymifolia,fac_only,
614,97,Heteropappus altaicus,fac_only,
615,97,Artemisia desertorum,fac_only,
616,97,Setaria viridis,fac_only,
617,97,Agrostis tenuis,fac_only,
618,97,Oxytropis psammocharis,FT_only,8
619,97,Imperata cylindrica,FT_only,
620,97,Caragana korshinskii,FT_only,
621,97,Euphorbia esula,FT_only,7
622,97,Arundo donax,FT_only,
623,97,Heteropappus hispidus,FT_only,
624,97,Artemisia japonica,FT_only,
625,98,Salsola ruthenica,match,
626,98,Artemisia scoparia,match,
627,98,Cirsium japonicum,match,
628,98,Achnatherum splendens,match,
629,98,Cynanchum hancockianum,match,
630,98,Caragana Korshinskii,fac_only,
631,98,Poa sphondylodes,fac_only,
632,98,Phragmites australias,fac_only,
633,98,Lithospermum arvense,fac_only,
634,98,Ixeridium chinense,fac_only,
635,98,Setaria viridis,fac_only,
636,98,Bassia dasyphylla,fac_only,
637,98,Sonchus oleraceus,fac_only,
638,98,Poa annua,fac_only,
639,98,Heteropappus altaicus,fac_only,
640,98,Medicago Sativa,fac_only,
641,98,Isatis tinctoria,fac_only,
642,98,Artemisia argyi,fac_only,
643,98,Corispermum chinganicum,fac_only,
644,98,Allium mongolicum,fac_only,
645,98,Euphorbia thymifolia,fac_only,
646,98,Convolvulus arvensis,fac_only,
647,98,Oxytropis psamocharis,fac_only,
